E_ID,Name,Age,Department,Role,Employment Type,Contract Duration,Band,Exp Yrs,Tenure Yrs,Attendance(%),Leave,Tasks Assigned,Tasks Completed,Tasks Completion Rate(%),Task Quality Score,Goal Achievement(%),Manager Feedback,Teamwork Score,Leadership Score,Client Feedback,Communication,Overtime,Training Hours,Training Completion(%),Performance Score,Performance Category,Recommendation
E0001,Murlidhar Bhargav,51,Information Technology,Software Engineer,Full-Time,Permanent,B5,23.4,12.8,90.2,3,21,17,80.95,74.19,78.41,77.23,82.24,80.31,77.01,82.18,0.0,30,73.99,79.54,Good,Incentive
E0002,Saumya Mondal,30,AI & Data Science,AI Engineer,Full-Time,Permanent,B2,2.6,0.3,97.2,0,29,21,72.41,73.95,78.2,73.89,82.67,61.39,78.88,76.79,14.4,25,80.11,77.61,Good,Incentive
E0003,Subodh Kamath,41,Customer Support,Support Analyst,Contract,12 Months,B3,8.7,5.5,91.9,5,41,33,80.49,74.49,81.66,80.13,70.57,70.15,75.78,80.62,0.0,25,76.42,78.91,Good,Incentive
E0004,Santanika Rai,33,Operations,Operations Manager,Full-Time,Permanent,B2,3.3,3.0,93.6,5,35,22,62.86,67.1,70.62,73.77,63.28,60.63,69.19,64.0,17.9,30,80.71,70.57,Good,Training
E0005,Jwala Ram,46,Customer Support,Support Executive,Full-Time,Permanent,B5,19.6,16.9,81.4,15,52,33,63.46,69.19,66.62,71.87,67.62,77.95,72.97,71.66,15.0,40,93.77,71.39,Good,Training
E0006,Priyali Ray,24,Human Resources,HR Analyst,Contract,24 Months,B1,0.9,0.5,88.2,15,24,15,62.5,72.85,68.7,66.67,63.26,59.61,73.96,68.19,0.0,40,89.97,70.34,Good,Training
E0007,Swaranjali Chaurasiya,52,Customer Support,Support Analyst,Part-Time,12 Months,B4,12.9,3.1,90.4,9,46,35,76.09,68.17,75.71,78.23,72.47,72.07,69.58,65.73,16.6,15,60.98,74.44,Good,Training
E0008,Suresh Khattar,43,Customer Support,Customer Success Associate,Full-Time,Permanent,B4,13.4,1.6,83.0,14,37,24,64.86,63.69,63.68,60.14,64.48,72.98,69.87,72.63,4.7,10,45.95,65.68,Average,Training
E0009,Kamala Shah,44,AI & Data Science,AI Engineer,Full-Time,Permanent,B4,13.3,10.4,96.4,1,28,26,92.86,84.06,85.32,87.76,79.54,78.1,76.63,67.99,2.8,10,44.79,83.47,Excellent,Incentive
E0010,Sadhana Shirke,47,Information Technology,System Administrator,Contract,6 Months,B4,14.6,12.6,90.3,10,46,34,73.91,65.8,67.22,74.03,69.94,71.41,70.44,65.95,4.1,40,79.12,72.51,Good,Training
E0011,Adyashankar Bhatia,50,Customer Support,Customer Success Associate,Full-Time,Permanent,B5,21.6,15.8,97.3,7,24,13,54.17,56.03,56.16,54.99,59.43,68.28,58.88,72.71,0.0,25,63.92,62.06,Average,Training
E0012,Badal Purohit,37,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B3,5.1,4.5,85.4,14,17,12,70.59,70.72,72.35,73.27,71.21,63.83,73.03,85.99,0.1,20,71.79,73.43,Good,Training
E0013,Drishti Prajapati,25,Customer Support,Support Analyst,Full-Time,Permanent,B2,2.1,1.2,72.5,18,24,12,50.0,66.33,64.52,75.28,65.69,61.59,69.14,69.39,0.0,25,62.7,65.38,Average,PIP
E0014,Padmavati Unadkat,29,Information Technology,DevOps Engineer,Full-Time,Permanent,B2,2.6,0.7,83.1,15,35,26,74.29,80.71,76.73,72.76,67.64,58.39,81.99,86.01,0.0,5,40.84,74.11,Good,Training
